Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Aircraft.damage,Broad.phase.of.flight
Boeing,737-222,0,0,0,73,Unknown,Approach
Cessna,152,0,0,0,1,Substantial,Landing
Beech,G35,0,0,0,2,Substantial,Approach
Cessna,152,0,0,1,0,Substantial,Landing
Beech,V35B,0,0,0,4,Substantial,Landing
Piper,PA-28RT-201T,0,2,0,0,Destroyed,Approach
Cessna,310R,1,0,0,0,Destroyed,Takeoff
Mcdonnell-Douglas,DC-10-30,0,0,14,203,Unknown,Climb
Piper,PA-28-180,1,0,0,0,Destroyed,Unknown
Piper,PA-28R-200,0,4,0,0,Destroyed,Cruise
Piper,J-3,0,0,0,2,Substantial,Taxi
Cessna,150M,0,0,0,1,Substantial,Cruise
Cessna,152,0,0,0,2,Substantial,Maneuvering
Cessna,182N,0,0,0,4,Substantial,Climb
Cessna,182P,0,0,0,3,Substantial,Takeoff
Beech,58P,0,0,0,4,Substantial,Cruise
Taylorcraft,BC12-D1,0,0,0,1,Substantial,Landing
Cessna,172RG,0,0,2,1,Destroyed,Approach
Piper,PA-28-180,1,3,0,0,Destroyed,Landing
Cessna,T210N,0,0,0,5,Destroyed,Cruise
Piper,PA-28-161,0,0,0,3,Substantial,Landing
Cessna,152,0,0,1,1,Substantial,Approach
Cessna,172,0,0,1,3,Substantial,Landing
Piper,PA-34-200T,0,0,0,2,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Takeoff
Aeronca,7AC,0,0,0,1,Substantial,Landing
Cessna,210N,0,0,0,1,Substantial,Cruise
Bell,206B,0,0,1,4,Substantial,Landing
Piper,PA-32,0,0,0,7,Substantial,Takeoff
Piccard,AX-6,0,1,0,1,Unknown,Landing
Cessna,182P,0,0,1,3,Substantial,Approach
Cessna,182RG,0,0,0,2,Substantial,Landing
Cessna,182P,0,0,0,1,Substantial,Takeoff
Piper,PA-28R-200,0,0,2,0,Substantial,Approach
Cessna,140,0,0,0,2,Substantial,Landing
Balloon Works,FIREFLY 7B,0,1,0,1,Unknown,Landing
Cessna,340A,0,0,4,0,Destroyed,Takeoff
North American,T-6G,2,0,0,0,Destroyed,Maneuvering
Piper,PA-24-250,3,0,0,0,Destroyed,Cruise
Piper,PA-32-301R,0,0,0,2,Substantial,Maneuvering
Beech,V-35B,0,0,0,3,Substantial,Takeoff
Beech,A36,0,0,0,2,Substantial,Takeoff
Cessna,180,0,0,0,4,Substantial,Landing
Cessna,170,0,0,2,0,Substantial,Landing
Cessna,172,0,0,0,3,Substantial,Cruise
Swearingen,SA-226TC,0,0,0,20,Substantial,Cruise
Cessna,172F,1,1,2,0,Substantial,Maneuvering
Cessna,T303,5,0,0,0,Destroyed,Climb
Piper,PA-28-161,2,2,0,0,Destroyed,Go-around
Canadair,CL-600-1A11,2,0,0,0,Destroyed,Approach
Piper,PA-28-235,0,0,0,1,Substantial,Climb
Cessna,152,0,0,0,1,Substantial,Landing
Piper,PA-38-112,0,0,0,1,Substantial,Landing
Cessna,T210N,0,1,0,0,Substantial,Cruise
Javelin Aircraft,WICHAWK,2,0,0,0,Destroyed,Maneuvering
Douglas,A26C,0,0,0,3,Substantial,Taxi
Cessna,T210N,1,0,0,0,Destroyed,Descent
North American,AT-6D,0,0,1,0,Destroyed,Cruise
Piper,PA-30,2,0,0,0,Destroyed,Cruise
Piper,AEROSTAR 602P,1,0,0,0,Destroyed,Approach
Cessna,172M,3,0,0,0,Destroyed,Takeoff
Mooney,M-20D,3,0,0,0,Destroyed,Approach
Beech,C23,0,4,0,0,Destroyed,Takeoff
Cessna,172N,0,0,0,1,Substantial,Landing
Cessna,T210L,0,0,0,2,Substantial,Cruise
Cessna,152,2,0,0,0,Destroyed,Maneuvering
Cessna,172RG,0,0,0,1,Destroyed,Unknown
Teal,TSC-1A,1,0,1,0,Destroyed,Maneuvering
Bell,47G-3B-2 (SOLOY),0,0,0,2,Destroyed,Maneuvering
Piper,PA-28-161,0,0,0,1,Substantial,Approach
Schweizer,1-36,0,0,0,1,Substantial,Maneuvering
Bell,206B III,1,1,0,0,Substantial,Cruise
Cessna,185,0,0,2,0,Substantial,Takeoff
Bell,212,0,0,0,8,Substantial,Landing
Boeing,727,0,1,0,36,Unknown,Climb
Piper,PA-30,0,0,2,0,Destroyed,Takeoff
Cessna,152,0,0,0,1,Substantial,Cruise
Hiller,UH-12E,0,0,0,1,Substantial,Takeoff
Cessna,421C,0,0,0,4,Substantial,Landing
Piper,PA-23-160,0,0,0,1,Substantial,Takeoff
Beech,B35,0,0,0,3,Substantial,Approach
Cessna,P210N,0,0,0,5,Substantial,Cruise
Cessna,207A,0,0,0,7,Substantial,Takeoff
Bellanca,14-19-3,2,0,0,0,Destroyed,Cruise
Cessna,150,2,0,0,0,Destroyed,Takeoff
Cessna,150K,2,0,0,0,Destroyed,Maneuvering
Cessna,140,0,1,0,0,Substantial,Takeoff
Robinson,R22,0,0,0,2,Substantial,Cruise
Balloon Works,FIRE FLY 7-B,0,0,0,2,Substantial,Takeoff
Grumman,G164A-450,0,0,0,1,Substantial,Maneuvering
Luscombe,8E,0,1,0,0,Substantial,Approach
Piper,PA-28-151,0,0,1,2,Destroyed,Cruise
Mooney,M20E,2,0,0,0,Destroyed,Maneuvering
Rutan,VARIEZE,0,1,0,0,Destroyed,Approach
Beech,D55,7,0,0,2,Destroyed,Cruise
Beech,200,0,0,0,2,Substantial,Cruise
Piper,PA-28R-200,0,0,0,4,Substantial,Taxi
Mooney,M20A,0,0,0,1,Substantial,Cruise
Mcdonnell Douglas,F4C,7,0,0,2,Substantial,Maneuvering
Willbird,2,0,1,0,0,Substantial,Takeoff
Convair,580-11-A,1,1,0,31,Substantial,Landing
Cessna,402B,0,0,0,4,Minor,Standing
Enstrom,F-28A,0,0,1,1,Substantial,Maneuvering
Cessna,150L,0,0,0,2,Substantial,Landing
Piper,PA-32R-301,0,0,0,6,Substantial,Landing
Bell,222,0,0,0,6,Unknown,Cruise
Mcdonnell Douglas,DC-8-54F,3,0,0,0,Destroyed,Takeoff
Bell,206B,0,0,0,3,Substantial,Takeoff
Cessna,170A,0,0,0,1,Substantial,Takeoff
Lockheed,18-56,0,0,0,4,Substantial,Takeoff
Champion,7ECA,0,0,2,0,Substantial,Takeoff
Piper,PA-32-260,0,0,0,1,Destroyed,Cruise
Beech,35-B33,0,0,0,1,Substantial,Takeoff
Piper,PA-38-112,0,0,0,1,Substantial,Landing
Bellanca,8KCAB,1,0,0,0,Destroyed,Maneuvering
Mcdonnell Douglas,DC10-10,0,0,0,201,Minor,Landing
Piper,PA-28-140,0,0,0,2,Destroyed,Approach
Cessna,185,0,0,0,1,Minor,Landing
Bell,206B,1,1,0,0,Destroyed,Cruise
Piper,PA-30,0,0,0,1,Substantial,Landing
Cessna,R172K,0,0,0,2,Substantial,Approach
Piper,PA-31-350,0,0,0,1,Substantial,Landing
Cessna,172 RG,0,1,1,0,Substantial,Cruise
Robinson,R22,1,0,0,0,Destroyed,Takeoff
Cessna,336,0,0,0,2,Substantial,Cruise
Piper,PA-38-112,0,0,0,1,Substantial,Cruise
Piper,PA-24-250,0,2,2,0,Substantial,Takeoff
Grumman American,AA-5B,0,0,0,2,Substantial,Landing
Cessna,150,0,0,0,2,Substantial,Cruise
Piper,PA-18-150,0,1,0,0,Substantial,Maneuvering
Maule,M4-180C,0,0,0,2,Substantial,Descent
Boeing,747-123,0,0,0,412,Minor,Taxi
Piper,PA-22-135,0,1,0,0,Substantial,Maneuvering
Pitts,S1S,0,0,0,1,Substantial,Landing
Cessna,A185F,0,1,0,2,Substantial,Takeoff
Cessna,172N,0,1,0,2,Substantial,Approach
Cessna,182,0,0,0,2,Substantial,Cruise
Cessna,150,0,0,0,3,Substantial,Cruise
Champion,7HC,0,0,2,0,Substantial,Takeoff
Douglas,DC-3,0,0,2,0,Substantial,Maneuvering
Bellanca,17-30A,0,0,0,1,Substantial,Go-around
Cessna,150,0,0,1,0,Substantial,Landing
Aero Commander,500,0,0,0,2,Substantial,Cruise
Bell,206B,0,0,0,3,Substantial,Cruise
Piper,PA-32-301,0,0,0,6,Substantial,Landing
Piper,PA-32-300,3,1,0,0,Destroyed,Takeoff
Piper,PA32-301,0,0,0,3,Minor,Landing
Cessna,188,0,0,0,1,Substantial,Takeoff
Cessna,180K,0,0,0,2,Substantial,Landing
Cessna,182M,0,0,0,1,Substantial,Approach
Beech,C-99,1,0,0,10,Minor,Standing
Piper,PA-32-300,0,0,1,0,Destroyed,Cruise
Israel Aircraft Industries,1124,0,0,0,8,Substantial,Takeoff
Cessna,182D,0,0,0,1,Substantial,Landing
Piper,PA-18-150,0,0,0,2,Substantial,Landing
Cessna,172XP,0,0,0,1,Substantial,Go-around
Cessna,150M,0,0,0,2,Substantial,Takeoff
Bell,47G-2,0,0,1,0,Substantial,Landing
Boeing,B-737-200,0,0,0,73,Unknown,Taxi
Piper,PA-28-140,3,0,0,0,Destroyed,Cruise
Cessna,A185F,3,0,0,0,Destroyed,Approach
Mitsubishi,MU-2B-30,0,0,0,2,Substantial,Landing
Beech,95-C55,0,0,0,2,Substantial,Landing
Cessna,P210N,1,0,0,0,Destroyed,Unknown
Stinson,108-2,0,0,2,0,Destroyed,Takeoff
Bell,206L-3,2,0,0,0,Destroyed,Cruise
Cessna,152,0,0,0,1,Substantial,Landing
Beech,E18-S,0,0,0,2,Substantial,Landing
Beech,C45H,0,1,1,0,Substantial,Approach
Beech,BE-60,0,0,0,2,Substantial,Landing
Schweizer,2-33A,0,1,0,0,Substantial,Takeoff
Cromwell/Pitts,S-1S,1,0,0,0,Destroyed,Maneuvering
Cessna,152,2,0,0,0,Destroyed,Cruise
Boeing,767-231,0,0,0,159,Minor,Descent
Piper,PA-22-20,2,0,0,0,Destroyed,Cruise
Cessna,172,0,0,0,1,Destroyed,Cruise
Cessna,152,0,0,0,1,Substantial,Landing
Cessna,140,0,0,0,1,Substantial,Maneuvering
"Smith, Ted Aerostar",600 AEROSTAR,0,0,0,1,Minor,Landing
Piper,PA-32-300,0,0,1,2,Substantial,Takeoff
Mooney,M20K,0,0,0,1,Substantial,Cruise
Beech,D55,0,0,0,1,Destroyed,Approach
Piper,PA-31,0,0,0,2,Destroyed,Cruise
Gates Learjet,24,0,0,0,3,Minor,Landing
Cessna,172N,0,0,0,2,Substantial,Takeoff
Cessna,401,0,0,0,5,Substantial,Landing
Obryon,MUSTANG II,0,0,0,1,Substantial,Takeoff
Piper,PA-32R-301,2,0,0,0,Destroyed,Cruise
Mitsubishi,MU-2B-60,6,1,0,0,Destroyed,Descent
Robinson,R22,0,0,0,2,Destroyed,Standing
Cessna,T210N,4,0,0,0,Destroyed,Cruise
Cessna,207,0,0,1,0,Substantial,Cruise
Bell,206L-1,0,0,2,2,Substantial,Takeoff
Cessna,150H,0,0,1,1,Destroyed,Cruise
Cessna,310R,4,0,0,0,Destroyed,Go-around
Cessna,152,0,0,0,1,Substantial,Takeoff
Cessna,210L,0,2,1,0,Substantial,Cruise
Piper,PA-22-135,0,2,0,0,Substantial,Takeoff
Cessna,172N,0,0,0,1,Substantial,Takeoff
Beech,D18S,0,0,0,2,Substantial,Landing
Cessna,152,0,0,1,0,Destroyed,Approach
Schweizer,SGS 1-26B,1,0,0,0,Destroyed,Approach
Mooney,M-20A,4,0,0,0,Destroyed,Maneuvering
Piper,PA-22-150,0,0,0,1,Substantial,Landing
Rockwell,500-S,0,0,0,1,Substantial,Approach
Bell,47G2,0,0,1,1,Substantial,Maneuvering
Piper,PA-28-180,0,0,0,3,Substantial,Landing
Mbb,SCORPION TOO,1,0,0,0,Substantial,Maneuvering
Mooney,M20E,0,0,0,3,Substantial,Landing
Cessna,172M,0,0,2,2,Substantial,Takeoff
Cessna,140,0,0,0,2,Substantial,Cruise
Taylorcraft,BC12-D,1,1,0,0,Destroyed,Takeoff
Bellanca,17-31A,0,4,0,0,Destroyed,Takeoff
Cessna,150M,0,0,0,2,Substantial,Landing
Cessna,172,0,0,0,1,Substantial,Landing
Cessna,172P,0,0,0,1,Substantial,Takeoff
Cessna,152,0,0,0,1,Substantial,Landing
Pace,THORP-T-18,0,0,0,1,Substantial,Takeoff
Cessna,172N,0,0,0,4,Substantial,Takeoff
Cessna,152,0,0,0,1,Substantial,Landing
Piper,PA-28-140,0,0,1,0,Substantial,Takeoff
Piper,PA-12,0,0,0,1,Substantial,Landing
Beech,65-80,0,0,2,0,Substantial,Landing
Beech,M35,0,1,0,0,Unknown,Standing
Piper,PA-28R-201T,1,0,0,0,Destroyed,Climb
Cessna,172P,0,0,2,0,Substantial,Landing
Robinson,R-22,0,0,0,1,Substantial,Takeoff
Taylorcraft,BC-12-D,0,0,0,2,Substantial,Approach
Cessna,A188B,0,0,0,1,Destroyed,Maneuvering
Bellanca,8GCBC,3,0,0,0,Destroyed,Unknown
Gulfstream,AMERICAN AA-5B,0,0,0,2,Substantial,Landing
Cessna,177A,0,0,2,0,Substantial,Approach
Cessna,182N,0,0,0,1,Substantial,Approach
Beech,G18S,0,0,0,1,Substantial,Landing
Aero Commander,680FL P,2,0,0,0,Destroyed,Cruise
Bell,47G4,0,0,1,0,Destroyed,Maneuvering
Cessna,182L,1,2,1,0,Destroyed,Takeoff
Cessna,P337H,0,0,1,0,Substantial,Unknown
Bensen,B8M,1,0,0,0,Destroyed,Takeoff
Maule,M-5-220C,0,1,3,0,Destroyed,Cruise
Mitsubishi,MU-2B-36,0,0,0,7,Minor,Landing
Beech,58,2,0,0,0,Destroyed,Cruise
Embraer,EMB-110,0,0,0,18,Minor,Cruise
Cessna,182P,0,0,1,1,Substantial,Approach
Piper,PA-28-180,0,0,0,2,Substantial,Taxi
Cessna,177RG,3,0,0,0,Destroyed,Climb
Cessna,150M,0,0,1,0,Destroyed,Cruise
Piper,PA-28-180,1,0,0,0,Destroyed,Cruise
Piper,PA-28-151,0,0,0,2,Substantial,Cruise
Piper,PA-24,0,0,0,2,Substantial,Landing
Aeronca,7BCM,0,0,0,1,Substantial,Landing
Piper,J-4,0,0,2,0,Substantial,Takeoff
Piper,PA-34-200T,0,0,0,1,Substantial,Taxi
Cessna,T210N,4,0,0,0,Destroyed,Cruise
Cessna,182P,1,1,1,0,Destroyed,Maneuvering
Cessna,550,0,0,0,8,Destroyed,Takeoff
Gates Learjet,LR24DXR,0,0,0,3,Minor,Landing
Bellanca,7GCAA,0,0,0,2,Substantial,Landing
Beech,H35,0,0,0,1,Substantial,Approach
Cessna,550,0,0,0,8,Substantial,Taxi
Cessna,185,0,0,0,3,Substantial,Landing
Piper,PA-23-250,0,0,0,1,Substantial,Landing
Piper,PA-30,0,0,0,2,Substantial,Landing
Cessna,310F,0,0,2,0,Destroyed,Takeoff
Navion,G,2,0,0,0,Destroyed,Cruise
Mcdonnell Douglas,DC-9-50,0,0,0,39,Minor,Go-around
Cessna,150L,0,0,0,2,Substantial,Landing
Piper,PA-32,0,0,0,5,Substantial,Takeoff
Robinson,R22,0,0,0,2,Substantial,Approach
Cessna,T210M,0,0,0,3,Substantial,Climb
Piper,PA22-150,0,0,2,0,Substantial,Takeoff
Cessna,T-210,0,0,2,0,Substantial,Maneuvering
Cessna,TR182,2,0,0,0,Destroyed,Cruise
Beech,A36TC,1,0,0,0,Destroyed,Cruise
Gates Learjet,LR-25,0,0,0,3,Unknown,Cruise
Cessna,207A,0,0,0,2,Minor,Takeoff
Cessna,207A,0,0,0,6,Minor,Takeoff
Piper,PA-44-180T,0,0,0,2,Substantial,Landing
Aerospatiale,AS 350 ASTAR,0,0,0,4,Substantial,Cruise
Bell,47G-5,0,0,0,1,Substantial,Takeoff
Piper,PA-28-180,0,0,0,1,Substantial,Landing
Piper,PA-28R-200,0,2,0,0,Destroyed,Approach
Cessna,R182,0,0,0,1,Destroyed,Landing
Cessna,182Q,0,0,1,2,Destroyed,Go-around
Cessna,152,0,0,0,2,Substantial,Descent
Grumman,G164,0,0,0,1,Substantial,Landing
Bellanca,14-19-3A,0,1,0,1,Substantial,Standing
Swearingen,SA-26T,0,0,0,1,Substantial,Landing
Cessna,150,0,2,0,0,Substantial,Maneuvering
Beech,H18,0,0,0,2,Substantial,Takeoff
Piper,PA-23-250,1,0,0,0,Destroyed,Takeoff
Aeronca,7EC,2,0,0,0,Destroyed,Maneuvering
North American,T-28A,1,1,0,0,Destroyed,Maneuvering
Champion,7KCAB,2,0,0,0,Destroyed,Approach
Beech,23,0,0,0,1,Substantial,Approach
Helio,H-395,0,0,0,5,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Approach
Cessna,150L,0,0,1,0,Substantial,Takeoff
Cessna,152,0,0,0,2,Substantial,Landing
Pratt-Read,PRG-1,0,0,0,1,Substantial,Cruise
Piper,PA28-140,0,0,0,3,Substantial,Approach
Cessna,150,0,0,0,1,Substantial,Cruise
Cessna,152,0,0,0,1,Substantial,Approach
Cessna,150,0,0,0,1,Substantial,Maneuvering
Mooney,M20J,0,0,0,3,Substantial,Landing
Piper,PA-28R-200,0,0,0,2,Substantial,Landing
Cessna,140,0,0,0,1,Substantial,Takeoff
Rockwell,690A,2,1,0,0,Destroyed,Takeoff
Piper,PA-44-180T,0,1,2,0,Destroyed,Go-around
Homebuilt,GYPSY HAWK,0,0,0,1,Substantial,Takeoff
Cessna,150J,0,0,0,2,Substantial,Cruise
Piper,PA-22,0,0,1,0,Substantial,Approach
John Tylenda,QUICKIE,0,0,0,1,Substantial,Takeoff
Piper,PA-28-140,0,0,0,3,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Takeoff
Piper,PA-28R,0,0,0,2,Substantial,Cruise
Bell,206B,0,0,0,2,Substantial,Takeoff
Cessna,310K,1,0,0,0,Destroyed,Takeoff
Cessna,R182,0,0,0,1,Substantial,Approach
Beech,B23,0,0,0,1,Substantial,Standing
Cessna,172RG,0,0,0,1,Substantial,Landing
Cessna,TU206G,0,0,0,1,Substantial,Landing
Boeing,B-727-200,0,0,0,74,Minor,Takeoff
Cessna,150G,0,0,0,1,Destroyed,Takeoff
Cessna,P210,0,0,2,0,Destroyed,Maneuvering
Beech,V35A,0,2,2,0,Destroyed,Approach
Piper,PA-23F-250,2,0,0,0,Destroyed,Cruise
Cessna,340A,4,0,0,0,Destroyed,Climb
De Havilland,DHC-6-300,0,7,1,0,Destroyed,Approach
Beech,95-55,0,0,0,3,Substantial,Standing
Cessna,182,0,0,0,1,Substantial,Landing
Cessna,172K,0,0,0,2,Substantial,Maneuvering
Piper,PA-32R-301,0,0,0,1,Substantial,Takeoff
Piper,PA-34-220T,0,0,0,3,Substantial,Cruise
Hughes,369HS,0,0,0,1,Substantial,Cruise
Cessna,210G,0,0,0,2,Substantial,Landing
Cessna,T210N,0,0,0,3,Substantial,Takeoff
Cessna,152,0,0,0,1,Substantial,Landing
Monnett,SONERAI II,0,0,0,1,Substantial,Landing
Piper,601P,5,0,0,0,Destroyed,Takeoff
Cessna,177RG,0,0,0,2,Minor,Landing
Cessna,170,0,0,0,1,Substantial,Cruise
Piper,PA-28-140,0,3,0,0,Substantial,Takeoff
Swearingen,SA-26T,0,0,0,3,Substantial,Landing
Cessna,C-182P,0,0,0,2,Substantial,Cruise
Cessna,U206G,0,0,0,2,Substantial,Taxi
Piper,J-3C,0,0,0,1,Substantial,Takeoff
Cessna,172,0,0,0,2,Substantial,Taxi
Cessna,310R,0,2,2,0,Destroyed,Landing
Midget,MUSTANG I,0,0,1,0,Destroyed,Go-around
Cessna,172C,0,1,1,0,Destroyed,Takeoff
Cessna,180H,0,0,0,3,Destroyed,Takeoff
Cessna,152,0,0,0,2,Substantial,Takeoff
Mooney,M20E,0,0,0,2,Substantial,Takeoff
Piper,PA-38-112,0,0,0,1,Substantial,Landing
Cessna,150K,0,0,0,1,Substantial,Taxi
Aeronca,7AC,0,0,0,2,Substantial,Landing
Cessna,C-152,0,0,0,1,Substantial,Cruise
Pitts,SPECIAL S-1C,0,1,0,0,Substantial,Cruise
Cessna,172G,0,0,0,2,Substantial,Cruise
Piper,PA28-151,0,0,0,4,Substantial,Landing
Cessna,182RG,0,0,0,2,Substantial,Landing
Piper,PA-32R-300,0,0,0,3,Substantial,Landing
Cessna,172N,0,0,0,2,Substantial,Landing
Piper,PA-18,0,0,1,0,Substantial,Landing
Piper,PA-22-150,0,0,2,0,Substantial,Cruise
Cessna,T188C,0,0,0,1,Substantial,Maneuvering
Luscombe,8A,0,0,0,1,Substantial,Approach
Cessna,150,0,0,0,1,Substantial,Descent
Bell,47G3B-2,0,0,0,1,Destroyed,Takeoff
Cessna,140,0,0,0,2,Substantial,Landing
Piper,PA-31P,0,0,0,2,Substantial,Approach
Cessna,150L,1,0,0,0,Destroyed,Cruise
Cessna,182,0,2,2,0,Destroyed,Takeoff
Beech,N35,5,0,0,0,Destroyed,Cruise
Cessna,152,0,0,0,2,Substantial,Takeoff
Cessna,177,0,0,0,2,Substantial,Cruise
Hughes,500-369HS,0,0,0,2,Substantial,Cruise
Luscombe,8A,0,0,0,1,Substantial,Landing
Cessna,150,0,1,0,1,Substantial,Approach
Scheibe Flugzeugbau,L SPATZ-55,0,0,0,1,Substantial,Landing
Piper,PA-28-180,0,0,1,0,Substantial,Cruise
Cessna,172K,0,0,0,1,Substantial,Landing
Cessna,150G,0,0,0,2,Substantial,Go-around
Eagle (Ultralight),B,1,0,0,0,Substantial,Takeoff
Grumman,G164A,0,0,0,1,Destroyed,Maneuvering
Piper,PA-24-180,3,0,0,0,Destroyed,Descent
Cessna,152,0,0,0,1,Substantial,Landing
Cessna,140,0,0,0,1,Substantial,Landing
Cessna,172P,0,4,0,0,Substantial,Descent
Beech,58,0,0,0,1,Substantial,Landing
Cessna,182H,2,0,0,0,Destroyed,Takeoff
Cessna,180J,1,0,0,0,Destroyed,Cruise
Cessna,P-206C,3,0,0,0,Destroyed,Go-around
Cessna,172N,2,0,0,0,Destroyed,Approach
Cessna,182J,0,0,0,1,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Takeoff
Piper,PA-34-200T,0,0,0,2,Substantial,Cruise
Swearingen,SA 226TC,0,1,0,9,Minor,Standing
Cessna,210H,0,0,0,1,Destroyed,Descent
Beech,P35,0,0,0,2,Substantial,Approach
Cessna,172P,0,0,0,1,Substantial,Landing
Bell,BH 206-L111,0,0,0,5,Substantial,Takeoff
Piper,PA-28-140,0,0,0,1,Substantial,Takeoff
Cessna,172,0,0,0,3,Substantial,Cruise
Cessna,421,0,0,0,1,Substantial,Approach
Cessna,210,0,0,0,1,Substantial,Cruise
Mooney,M20F,0,0,1,0,Destroyed,Cruise
Hiller,UH-12D,0,0,0,1,Substantial,Takeoff
Hughes,TH-55A,0,0,1,1,Substantial,Landing
Piper,PA-38-112,0,0,0,2,Substantial,Takeoff
Piper,PA-32R-300,0,0,0,4,Substantial,Cruise
Douglas,DC-6A,0,0,0,3,Substantial,Taxi
Cessna,150,0,0,0,1,Destroyed,Takeoff
Cessna,150J,0,0,1,0,Substantial,Approach
Cessna,172M,2,0,0,0,Substantial,Go-around
Cessna,152,0,0,0,2,Substantial,Landing
Cessna,182R,0,0,0,1,Substantial,Maneuvering
Bellanca,7GCBC,0,0,0,1,Substantial,Takeoff
Cessna,170B,0,0,0,2,Substantial,Landing
Bell,47G-2,0,0,0,2,Substantial,Maneuvering
Piper,PA-32-301,2,0,0,0,Destroyed,Descent
Ayres,S2R-R3S,1,0,0,0,Destroyed,Maneuvering
Piper,PA-32-260,0,0,2,2,Destroyed,Descent
Piper,PA-28-140,1,0,0,0,Destroyed,Approach
Piper,PA-28-140,0,1,1,0,Substantial,Go-around
Harrison Volmer,VJ-22 AMPHIBIAN,0,0,2,0,Substantial,Takeoff
Piper,PA-22-125,0,0,0,1,Substantial,Landing
Cessna,150M,0,0,0,2,Substantial,Cruise
Piper,PA-18,0,0,0,1,Substantial,Maneuvering
Piper,PA-32R,1,1,0,0,Destroyed,Landing
Beech,E55,2,0,0,0,Destroyed,Cruise
Hughes,269A,2,0,0,0,Destroyed,Maneuvering
Raven,RX-7,0,0,0,5,Unknown,Climb
Cessna,172M,0,0,0,3,Minor,Climb
Piper,PA-32R-300,0,0,0,5,Substantial,Approach
Piper,PA-34-200,0,0,0,3,Substantial,Approach
Raven,RX-7,0,0,0,5,Substantial,Climb
Aeronca,CHAMPION 7AC,0,0,1,1,Destroyed,Takeoff
Dodd,PITTS S1S,1,0,0,0,Destroyed,Maneuvering
Champion,7ECA,0,0,1,1,Substantial,Maneuvering
Varieze,VARIEZE,0,0,0,1,Substantial,Landing
Aerospatiale,AS-350D,0,0,0,4,Minor,Approach
Bell,206L-1,0,1,1,1,Substantial,Landing
Cessna,140,1,1,0,0,Destroyed,Cruise
Piper,PA-28-181,0,1,1,0,Destroyed,Takeoff
Cessna,177,3,0,0,0,Destroyed,Takeoff
Piper,PA-28-161,0,0,0,4,Substantial,Go-around
Piper,PA-38-112,0,0,0,1,Substantial,Cruise
Bellanca,7FC,0,0,0,1,Substantial,Cruise
Cessna,150,0,0,0,2,Substantial,Cruise
Cessna,182G,0,0,0,2,Substantial,Cruise
Cessna,152,0,0,0,2,Substantial,Cruise
Rockwell,112A,0,0,0,3,Substantial,Takeoff
Cessna,150M,0,0,0,1,Substantial,Takeoff
Cessna,210-5,1,0,0,0,Destroyed,Cruise
Cessna,177RG,0,0,0,4,Minor,Landing
Cessna,210M,0,0,0,3,Substantial,Takeoff
Beech,C-23,0,0,0,2,Substantial,Landing
Thorp,T-18,1,0,0,0,Destroyed,Unknown
Piper,PA-38-112,0,0,2,0,Destroyed,Takeoff
Beech,C23,0,0,0,1,Minor,Unknown
Cessna,310,3,0,0,0,Destroyed,Cruise
Douglas,B-26C,1,0,0,0,Destroyed,Maneuvering
Cessna,401,0,0,0,6,Minor,Cruise
Beckner,FW-3,0,0,1,0,Substantial,Cruise
Piper,PA-28-181,1,1,0,0,Substantial,Cruise
Cessna,150D,0,0,0,1,Substantial,Takeoff
Glasair,SH-2,1,0,0,0,Destroyed,Approach
Schweizer,SGS2-33A,0,1,0,1,Minor,Takeoff
Beech,V35B,1,0,0,0,Destroyed,Maneuvering
Cessna,182Q,1,0,0,0,Destroyed,Cruise
Cessna,172,1,0,0,0,Destroyed,Cruise
Rand Kr1,KR-1,0,0,0,1,Destroyed,Takeoff
Beech,K35,2,1,1,0,Destroyed,Approach
Grumman,G-164A,0,0,0,1,Substantial,Maneuvering
Cessna,310C,0,0,1,1,Substantial,Takeoff
Cessna,120,0,0,0,2,Substantial,Taxi
North American,AT-6,0,0,0,2,Substantial,Landing
Bellanca,8KCAB,0,0,0,1,Substantial,Approach
Cessna,172N,0,0,1,3,Substantial,Go-around
Piper,PA-38-112,0,0,0,1,Substantial,Landing
Cessna,182Q,2,0,0,0,Destroyed,Cruise
Cessna,172N,1,0,0,0,Destroyed,Descent
Cessna,C-150L,0,0,0,1,Substantial,Landing
Cessna,150F,0,0,0,1,Substantial,Maneuvering
Robinson,R22,0,0,0,2,Substantial,Landing
Cessna,T-210L,0,0,0,2,Substantial,Cruise
Rockwell,INTL S-2R,0,0,0,1,Substantial,Takeoff
Cessna,U2061,2,0,0,0,Destroyed,Cruise
Cessna,195,0,0,0,2,Substantial,Takeoff
Cessna,177B,0,0,0,2,Substantial,Descent
Taylorcraft,BC-12-D,0,0,0,2,Substantial,Landing
Cessna,402C,0,0,0,3,Destroyed,Cruise
Cessna,T210N,0,0,1,2,Substantial,Descent
Cessna,172N,0,0,0,1,Substantial,Landing
Cessna,172M,0,0,0,1,Substantial,Landing
Mooney,M20C,0,0,0,2,Substantial,Approach
Piper,PA-28R-180,0,0,0,3,Substantial,Taxi
Cessna,188B,0,0,0,1,Destroyed,Takeoff
Champion,7EC,2,0,0,0,Destroyed,Maneuvering
