Aircraft.damage,Make,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Broad.phase.of.flight
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Piper,0,1,0,VMC,Takeoff
Minor,Balloon works,0,1,0,VMC,Landing
Destroyed,Bellanca,2,0,0,VMC,Descent
Substantial,Grumman,0,0,0,VMC,Takeoff
Substantial,Ryan-navion,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,1,VMC,Approach
Substantial,Piper,0,1,0,VMC,Approach
Substantial,Cessna,0,1,2,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Murphy,0,0,1,VMC,Landing
Destroyed,Wsk pzl mielec,1,0,0,IMC,Maneuvering
Destroyed,Cessna,1,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,1,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Takeoff
Destroyed,Piper,2,0,0,VMC,Climb
Destroyed,Cessna,1,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Cessna,0,0,2,VMC,Takeoff
Substantial,Quickie,0,0,0,VMC,Landing
Substantial,Maule,0,0,0,IMC,Cruise
Substantial,Great lakes,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Aero commander,0,0,0,VMC,Standing
Substantial,Bellanca,0,0,0,VMC,Landing
Substantial,Cessna,0,0,2,IMC,Approach
Substantial,Piper,0,1,0,VMC,Maneuvering
Substantial,Schweizer,0,0,1,VMC,Approach
Substantial,Piper,0,0,0,IMC,Other
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,Cessna,2,0,0,IMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Hiller,0,0,1,VMC,Cruise
Destroyed,Cessna,2,0,0,IMC,Cruise
Destroyed,Eagle aircraft co.,0,0,1,VMC,Takeoff
Destroyed,Piper,1,0,0,IMC,Approach
Substantial,Forbes-wolfram special,0,0,0,VMC,Takeoff
Substantial,Ryan,0,0,1,VMC,Landing
Substantial,Beech,0,0,0,IMC,Landing
Substantial,De havilland,0,0,2,VMC,Takeoff
Destroyed,Bell,0,1,1,VMC,Maneuvering
Destroyed,Cessna,2,0,0,VMC,Maneuvering
Destroyed,Cessna,2,0,0,VMC,Maneuvering
Substantial,Cessna,0,0,2,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Alexander,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Destroyed,Homebuilt,1,0,0,VMC,Maneuvering
Substantial,Piper,0,0,0,VMC,Cruise
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Cessna,0,1,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Nord (sncan),0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Hiller,0,0,0,VMC,Maneuvering
Substantial,Beech,0,0,0,IMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Descent
Destroyed,Cessna,0,0,0,VMC,Go-around
Destroyed,Jerome dodge,1,0,0,VMC,Approach
Destroyed,Cessna,2,0,0,VMC,Maneuvering
Destroyed,Cessna,2,0,0,IMC,Climb
Destroyed,Bell,3,0,0,IMC,Cruise
Substantial,Inav,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Approach
Destroyed,Piper,2,0,0,VMC,Climb
Substantial,Piper,0,0,0,VMC,Approach
Substantial,Cessna,0,0,2,VMC,Cruise
Substantial,Champion,0,0,0,VMC,Landing
Substantial,Fairchild,0,0,0,IMC,Takeoff
Destroyed,Cessna,5,0,0,IMC,Maneuvering
Minor,Mcdonnell douglas,0,0,0,VMC,Landing
Minor,Mitsubishi,0,0,0,VMC,Taxi
Destroyed,Cessna,1,0,0,VMC,Cruise
Destroyed,Star duster,0,1,0,VMC,Takeoff
Substantial,Bell,0,0,0,VMC,Standing
Substantial,Cessna,1,0,0,VMC,Maneuvering
Substantial,North american,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,Mcculloch,0,1,0,VMC,Takeoff
Destroyed,Piper,1,0,0,VMC,Descent
Substantial,Piper,0,0,2,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Other
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Hughes,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Takeoff
Destroyed,Mccoy robert-michael,0,2,0,VMC,Cruise
Substantial,Schweizer,0,1,0,VMC,Cruise
Substantial,White lightning aircraft corp.,0,0,0,IMC,Cruise
Substantial,Beech,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,Barnes,0,0,0,VMC,Cruise
Destroyed,Beech,1,0,0,VMC,Climb
Destroyed,Mooney,1,0,0,IMC,Approach
Destroyed,Piper,1,0,0,IMC,Takeoff
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Floyd r.harris,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Walter d. burleson,0,0,0,VMC,Landing
Substantial,Cessna,0,0,1,VMC,Descent
Substantial,Piper,0,0,4,VMC,Takeoff
Substantial,Beech,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,1,VMC,Taxi
Destroyed,Ryan,0,3,0,VMC,Cruise
Destroyed,Hiller,1,0,0,VMC,Maneuvering
Substantial,Rockwell,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Air tractor,0,0,0,VMC,Takeoff
Destroyed,Cameron,0,0,0,VMC,Landing
Substantial,Bellanca,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,2,VMC,Takeoff
Substantial,De havilland,0,0,0,VMC,Takeoff
Substantial,Beech,0,0,0,VMC,Takeoff
Destroyed,Cessna,2,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,IMC,Approach
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,1,1,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Destroyed,Piper,1,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Bellanca,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Destroyed,Piper,3,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Go-around
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Beech,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Takeoff
Destroyed,Cessna,0,1,0,IMC,Takeoff
Minor,Cessna,0,0,0,IMC,Cruise
Destroyed,Lockheed,3,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Burkhart grob,0,1,0,VMC,Approach
Substantial,Waco,0,0,0,VMC,Takeoff
Substantial,Gillon,0,0,0,VMC,Cruise
Substantial,Smith & r. mathews,0,0,0,VMC,Cruise
Substantial,Robinson,0,0,1,IMC,Cruise
Substantial,Cassutt,0,0,0,VMC,Cruise
Minor,Mcdonnell douglas,0,0,0,UNK,Standing
Destroyed,Cessna,0,1,0,VMC,Cruise
Destroyed,Cessna,2,0,0,VMC,Descent
Destroyed,Griffin,1,0,0,VMC,Climb
Destroyed,Mooney,0,2,0,VMC,Takeoff
Destroyed,Cessna,3,0,0,VMC,Approach
Destroyed,Piper,3,0,0,VMC,Approach
Substantial,Eiriavion oy,0,0,0,VMC,Descent
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Aeronca,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Cessna,0,0,2,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Landing
Destroyed,Stahl-ameter,0,0,0,VMC,Cruise
Destroyed,Cessna,0,0,3,VMC,Takeoff
Substantial,Bellanca,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Climb
Destroyed,Hughes,0,0,0,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,1,VMC,Cruise
Substantial,Robinson,0,0,0,VMC,Climb
Substantial,Piper,0,2,0,VMC,Cruise
Substantial,Teal,0,0,0,VMC,Landing
Substantial,"Smith, ted aerostar",0,0,0,IMC,Landing
Destroyed,Piper,0,2,0,VMC,Maneuvering
Minor,Cessna,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Let,0,0,0,VMC,Approach
Substantial,Bellanca,0,0,1,VMC,Landing
Substantial,Cessna,0,0,1,VMC,Landing
Destroyed,Mcdonnell douglas,0,2,0,VMC,Cruise
Substantial,Cessna,0,0,1,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Destroyed,Piper,0,0,0,VMC,Other
Substantial,Hughes,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Britten-norman,0,0,0,VMC,Landing
Destroyed,Cessna,2,0,0,IMC,Cruise
Substantial,Raven,0,0,1,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Enstrom,0,0,0,VMC,Cruise
Substantial,Cessna,0,1,1,VMC,Takeoff
Substantial,Beech,0,2,0,VMC,Approach
Minor,Let,0,1,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Climb
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Mitsubishi,0,0,0,VMC,Takeoff
Destroyed,Cessna,0,0,1,VMC,Descent
Destroyed,Piper,2,0,0,UNK,Cruise
Substantial,Cessna,0,0,0,VMC,Cruise
Destroyed,Cessna,0,0,0,VMC,Cruise
Minor,Boeing,0,0,0,IMC,Landing
Destroyed,Cessna,1,0,0,IMC,Maneuvering
Substantial,Beech,0,0,8,IMC,Landing
Destroyed,Cessna,0,0,2,VMC,Takeoff
Destroyed,Piper,1,0,0,VMC,Approach
Minor,Boeing,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Rockwell,0,0,1,VMC,Maneuvering
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Piper,1,0,0,VMC,Approach
Substantial,Cessna,1,1,0,VMC,Takeoff
Substantial,Waco,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Cruise
Destroyed,Piper,2,2,0,VMC,Landing
Destroyed,Cessna,2,2,0,VMC,Takeoff
Minor,Swearingen,0,0,0,VMC,Approach
Destroyed,Cessna,2,0,0,IMC,Cruise
Destroyed,Bell,2,2,0,VMC,Takeoff
Substantial,Buhl,0,0,0,VMC,Takeoff
Substantial,Cessna,0,1,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Climb
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Piper,0,0,1,VMC,Takeoff
Destroyed,Gulfstream american,1,0,0,VMC,Maneuvering
Destroyed,Piper,2,0,0,IMC,Takeoff
Minor,Cessna,0,0,0,VMC,Landing
Substantial,Luscombe,0,0,0,VMC,Landing
Substantial,Cessna,0,0,1,VMC,Standing
Substantial,Lake,0,2,2,VMC,Landing
Substantial,Taylorcraft,0,1,0,VMC,Landing
Destroyed,Cessna,1,0,0,VMC,Maneuvering
Destroyed,James olivier,1,0,0,VMC,Approach
Destroyed,Brown,1,1,0,VMC,Takeoff
Substantial,Cessna,0,0,1,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,2,1,VMC,Cruise
Substantial,Cessna,0,0,3,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Myers,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Go-around
Substantial,Leblanc,0,0,0,VMC,Landing
Destroyed,Piper,1,0,0,IMC,Approach
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Bell,0,0,1,VMC,Descent
Destroyed,Cessna,2,0,0,VMC,Maneuvering
Destroyed,Jere l. rosser,1,0,0,VMC,Takeoff
Substantial,Centrair,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Beech,0,0,0,VMC,Standing
Substantial,Interstate,1,0,0,VMC,Landing
Substantial,Short brothers,0,0,0,VMC,Landing
Destroyed,Enstrom,1,1,0,VMC,Maneuvering
Destroyed,Mooney,1,1,0,IMC,Climb
Destroyed,Piper,4,0,0,VMC,Takeoff
Destroyed,Cessna,2,0,0,VMC,Unknown
Substantial,Cessna,0,0,0,IMC,Takeoff
Substantial,Ayres,0,0,0,VMC,Takeoff
Substantial,Cessna,0,1,1,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Hughes,0,0,0,VMC,Takeoff
Destroyed,Beech,0,1,2,VMC,Approach
Destroyed,Cessna,1,0,0,IMC,Takeoff
Substantial,Piper,0,0,0,VMC,Descent
Substantial,Artic aircraft corp.,0,0,0,VMC,Takeoff
Destroyed,Hughes,0,0,1,VMC,Taxi
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Robinson,0,1,1,VMC,Approach
Substantial,Taylorcraft,0,0,0,VMC,Takeoff
Destroyed,Piper,2,0,0,IMC,Cruise
Destroyed,Boeing,0,3,31,IMC,Landing
Destroyed,Piper,2,0,0,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,Piper,2,0,0,IMC,Approach
Substantial,Cessna,0,1,2,VMC,Approach
Substantial,Hughes,0,0,0,VMC,Cruise
Destroyed,Mooney,0,0,1,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,Murrayair,0,0,0,VMC,Standing
Destroyed,Piper,0,2,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,1,VMC,Takeoff
Substantial,Grumman,1,5,9,VMC,Climb
Destroyed,Bell,1,0,0,IMC,Descent
Destroyed,Cessna,0,4,0,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Piper,1,0,0,UNK,Cruise
Destroyed,De havilland,1,1,0,VMC,Takeoff
Destroyed,Grumman,0,0,0,VMC,Cruise
Substantial,Cessna,0,1,0,VMC,Cruise
Substantial,Piper,0,1,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Ralley,0,0,0,VMC,Go-around
Substantial,Piper,0,0,0,VMC,Cruise
Substantial,Fairchild swearingen,0,1,2,VMC,Landing
Minor,British aerospace,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,1,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Go-around
Destroyed,Beech,0,0,0,VMC,Landing
Destroyed,Bushby,1,0,0,VMC,Maneuvering
Destroyed,Beech,0,0,1,VMC,Takeoff
Substantial,Piper,0,0,1,VMC,Cruise
Substantial,Luscombe,0,0,0,VMC,Descent
Substantial,Snow,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,2,VMC,Maneuvering
Substantial,Boeing,0,0,0,VMC,Landing
Substantial,Cessna,0,1,0,IMC,Takeoff
Substantial,Learjet,0,0,0,VMC,Approach
Substantial,Bell,0,1,1,VMC,Takeoff
Destroyed,Piper,2,0,0,IMC,Takeoff
Destroyed,Bellanca,2,0,0,IMC,Maneuvering
Destroyed,Aero commander,0,0,0,VMC,Standing
Destroyed,Pitts,0,0,0,VMC,Takeoff
Destroyed,Koons-donald,1,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Go-around
Substantial,Piper,0,0,0,VMC,Maneuvering
Substantial,Stinson,0,0,0,VMC,Landing
Destroyed,Cessna,3,0,0,VMC,Maneuvering
Destroyed,Cessna,1,0,0,VMC,Takeoff
Substantial,Champion,0,0,1,VMC,Cruise
Substantial,Cessna,0,0,1,VMC,Go-around
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,"Smith, ted aerostar",0,0,2,VMC,Cruise
Substantial,Mooney,0,0,0,IMC,Landing
Substantial,Bellanca,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Sikorsky,1,0,0,VMC,Maneuvering
Destroyed,Cessna,1,0,0,VMC,Takeoff
Destroyed,Grumman,1,0,0,VMC,Maneuvering
Destroyed,Beech,0,0,2,IMC,Approach
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Quicksilver,0,1,0,VMC,Landing
Destroyed,Cessna,2,0,0,VMC,Climb
Destroyed,Beech,2,0,0,IMC,Cruise
Destroyed,Piper,0,0,0,VMC,Cruise
Destroyed,Cessna,2,0,0,IMC,Cruise
Destroyed,Cessna,0,0,0,VMC,Landing
Destroyed,Cessna,0,0,0,VMC,Approach
Destroyed,Cessna,1,0,0,IMC,Approach
Destroyed,Piper,1,1,2,IMC,Approach
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Piper,0,1,0,IMC,Approach
Substantial,Bell,0,1,0,VMC,Cruise
Substantial,Boeing,1,1,2,IMC,Taxi
Destroyed,Beech,1,0,0,IMC,Approach
Destroyed,Bell,0,2,1,IMC,Climb
Destroyed,Cessna,1,0,0,IMC,Cruise
Destroyed,Beech,0,0,1,IMC,Climb
Destroyed,Beech,1,3,0,IMC,Climb
Destroyed,Cessna,1,1,0,VMC,Approach
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Standing
Substantial,Bellanca,0,1,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Glasair,0,0,0,VMC,Approach
Substantial,Pitts,0,0,1,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Landing
Destroyed,Cessna,0,0,0,VMC,Climb
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Schweizer,0,0,0,VMC,Approach
Substantial,Schweizer,0,0,0,VMC,Approach
Substantial,Turnbloom,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Climb
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Bell,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,2,VMC,Cruise
Destroyed,Piper,1,0,0,VMC,Climb
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Bell,0,0,2,VMC,Takeoff
Substantial,Beech,0,0,0,VMC,Takeoff
Substantial,Cessna,0,2,0,VMC,Landing
Destroyed,Beech,2,0,0,VMC,Takeoff
Substantial,Cessna,0,0,2,VMC,Maneuvering
Substantial,Piper,0,0,0,VMC,Standing
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Hughes,0,0,0,VMC,Maneuvering
Substantial,Lockheed,0,0,0,VMC,Landing
Destroyed,Piper,0,0,1,VMC,Standing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Minor,Cessna,0,1,0,VMC,Standing
Substantial,Mooney,0,1,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Globe,0,2,0,VMC,Approach
Substantial,Boeing,0,2,0,VMC,Approach
Substantial,Cessna,0,0,1,VMC,Takeoff
Substantial,Burkhart grob,0,0,0,VMC,Takeoff
Destroyed,Cessna,0,0,0,VMC,Takeoff
Destroyed,Piper,0,0,2,VMC,Landing
Minor,Boeing,0,0,1,VMC,Landing
Substantial,Cessna,0,0,2,VMC,Maneuvering
Substantial,Ercoupe (eng & research corp.),0,0,0,VMC,Approach
Substantial,Piper,0,0,1,VMC,Landing
Substantial,Piper,0,0,1,IMC,Takeoff
Substantial,Hickham,0,0,0,VMC,Takeoff
Destroyed,Cessna,1,1,0,IMC,Cruise
Destroyed,Cessna,2,0,0,IMC,Climb
Destroyed,Cessna,0,2,0,IMC,Approach
Destroyed,Piper,2,0,0,IMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,2,0,0,IMC,Approach
Substantial,Piper,0,0,1,VMC,Takeoff
Destroyed,Cessna,0,1,0,VMC,Landing
Substantial,Cessna,0,0,0,IMC,Landing
Substantial,Cessna,0,0,0,IMC,Landing
Destroyed,Devries,0,1,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Descent
Substantial,Barnes,0,0,0,VMC,Landing
Substantial,Cessna,0,1,1,IMC,Go-around
Substantial,Hughes,0,0,0,VMC,Approach
Substantial,Cessna,0,0,1,VMC,Takeoff
Substantial,Beech,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Takeoff
Destroyed,Cessna,1,1,0,VMC,Climb
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,Mooney,1,0,0,IMC,Climb
Destroyed,Beech,0,0,1,VMC,Cruise
Substantial,Gulfstream,0,2,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,1,VMC,Descent
Destroyed,Piper,1,0,0,IMC,Cruise
Destroyed,Cessna,1,0,0,VMC,Takeoff
Destroyed,Mullinax,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,IMC,Go-around
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Rohdecap/thorp,0,0,1,VMC,Landing
Substantial,Piper,0,0,1,VMC,Landing
Substantial,Cessna,0,1,0,VMC,Standing
Substantial,Piper,0,0,1,VMC,Landing
Substantial,Boeing stearman,0,1,0,VMC,Maneuvering
Destroyed,Cessna,2,0,0,UNK,Cruise
Substantial,Cessna,0,0,0,VMC,Standing
Substantial,Piper,0,0,0,VMC,Taxi
Substantial,Piper,0,0,1,VMC,Cruise
Destroyed,Cessna,1,0,0,IMC,Takeoff
Substantial,Schweizer,0,0,0,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Piper,0,0,0,VMC,Approach
Destroyed,Cessna,0,0,1,VMC,Approach
Destroyed,Bell,2,0,0,IMC,Cruise
Minor,British aerospace,0,0,0,VMC,Taxi
Substantial,Piper,0,0,2,VMC,Maneuvering
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Hughes,0,0,0,VMC,Approach
Destroyed,Piper,2,0,0,VMC,Cruise
Destroyed,Piper,1,0,0,IMC,Approach
Destroyed,Beech,4,0,0,VMC,Go-around
Destroyed,Piper,4,0,0,VMC,Cruise
Destroyed,Beech,4,0,0,IMC,Approach
Substantial,Cessna,0,0,1,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Go-around
Destroyed,Moore-van,1,0,0,VMC,Maneuvering
Destroyed,Cessna,0,0,2,VMC,Landing
Destroyed,Cessna,3,0,0,IMC,Cruise
Substantial,Navion,0,1,1,VMC,Cruise
Substantial,Bellanca,0,0,2,VMC,Landing
Substantial,Piper,0,0,3,VMC,Cruise
Destroyed,Bell,0,1,1,VMC,Maneuvering
Minor,De havilland,0,0,0,VMC,Approach
Destroyed,Piper,3,0,0,VMC,Descent
Destroyed,Cessna,0,1,1,VMC,Takeoff
Substantial,Mooney,0,1,1,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,North american-maslon,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,North american,2,0,0,VMC,Takeoff
Substantial,Beech,0,0,0,VMC,Landing
Substantial,Mooney,0,0,0,VMC,Cruise
Destroyed,Cessna,2,0,0,VMC,Climb
Destroyed,Piper,1,0,0,IMC,Unknown
Destroyed,Beech,5,0,0,VMC,Climb
Substantial,Piper,0,0,1,VMC,Cruise
Substantial,Pitts special,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Hiller,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,De havilland,0,0,0,VMC,Takeoff
Destroyed,Cessna,1,1,0,IMC,Climb
Destroyed,Robinson,0,0,2,VMC,Approach
Minor,Mooney,0,0,0,IMC,Descent
Substantial,Piper,0,0,1,VMC,Descent
Substantial,Cessna,0,0,0,VMC,Standing
Substantial,Schweizer,0,0,0,VMC,Landing
Substantial,Beech,0,0,0,IMC,Maneuvering
Substantial,Mooney,0,0,3,VMC,Cruise
Destroyed,Cessna,0,1,0,IMC,Approach
Minor,Douglas,0,0,0,IMC,Landing
Substantial,Bell,0,0,0,VMC,Takeoff
Substantial,Mooney,0,1,0,VMC,Approach
Destroyed,Mooney,4,0,0,IMC,Approach
Minor,De havilland,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Landing
Destroyed,Bell,3,0,0,IMC,Approach
Destroyed,Piper,1,0,0,VMC,Maneuvering
Destroyed,Bell,4,0,0,IMC,Cruise
Substantial,Grumman-schweizer,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,1,VMC,Landing
Substantial,Aero commander,0,0,0,VMC,Landing
Destroyed,Cessna,0,0,1,VMC,Approach
Substantial,Cessna,0,0,0,IMC,Maneuvering
Destroyed,Beech,0,0,1,VMC,Unknown
Destroyed,Cessna,0,0,1,VMC,Cruise
Substantial,Grumman,0,0,0,VMC,Maneuvering
Substantial,Cessna,0,2,0,VMC,Maneuvering
Destroyed,Cessna,6,1,0,IMC,Cruise
Destroyed,Cessna,0,2,0,IMC,Approach
Destroyed,Cessna,1,0,0,VMC,Maneuvering
Destroyed,Cessna,0,0,0,VMC,Cruise
Destroyed,Piper,1,0,0,IMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,1,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Landing
