Aircraft.damage,Make,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Broad.phase.of.flight
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Cessna,0,0,0,UNK,Cruise
Substantial,Piper,0,0,0,VMC,Takeoff
Substantial,Canadair,0,0,0,VMC,Landing
Substantial,Piper,0,0,0,VMC,Takeoff
Minor,Piper,0,0,0,VMC,Takeoff
Destroyed,Beech,2,0,0,IMC,Cruise
Destroyed,Cessna,3,0,0,IMC,Descent
Destroyed,Piper,1,0,0,IMC,Approach
Substantial,Cessna,1,0,0,VMC,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Hughes,0,0,0,VMC,Landing
Destroyed,Cessna,4,0,0,IMC,Cruise
Destroyed,Cessna,1,0,0,IMC,Approach
Destroyed,Douglas,0,0,2,VMC,Takeoff
Destroyed,Piper,0,1,2,IMC,Maneuvering
Destroyed,Piper,1,0,0,IMC,Cruise
Destroyed,Grumman,1,0,0,IMC,Takeoff
Destroyed,Piper,0,1,3,VMC,Approach
Destroyed,Cessna,0,0,1,VMC,Landing
Substantial,Mooney,0,0,0,VMC,Takeoff
Substantial,Air tractor,0,0,0,VMC,Takeoff
Destroyed,Sons mustang,2,0,0,VMC,Unknown
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Sikorsky,0,0,0,VMC,Maneuvering
Destroyed,Cessna,1,1,0,IMC,Approach
Destroyed,Mooney,2,0,4,VMC,Unknown
Destroyed,Grumman,0,0,0,VMC,Takeoff
Destroyed,Mcdonnell douglas,2,4,24,IMC,Landing
Destroyed,Beech,1,0,0,IMC,Cruise
Substantial,Piper,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Cruise
Substantial,Piper,0,0,0,VMC,Approach
Substantial,Piper,2,0,4,VMC,Cruise
Substantial,Cessna,0,1,0,VMC,Landing
Substantial,Bell/textron,0,0,0,VMC,Landing
Substantial,Bell,0,0,0,VMC,Maneuvering
Substantial,Piper,0,0,1,VMC,Go-around
Destroyed,Robertson,7,0,0,VMC,Approach
Substantial,Cessna,0,0,2,UNK,Approach
Substantial,Cessna,0,0,0,VMC,Landing
Substantial,Cessna,0,0,0,VMC,Standing
Substantial,Cessna,0,0,0,VMC,Descent
Destroyed,Cessna,2,0,0,UNK,Cruise
Substantial,Cessna,0,0,1,VMC,Descent
